IDS,
        Depth,  1 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.002664327621459961 ,
                 Avg Expanded,  1.0 ,
                 Avg Added,  4.0 ,
                 Avg Depth,  0.0 ,
                 Runs,  15 ,
        Depth,  2 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.004850372672080994 ,
                 Avg Expanded,  3.0625 ,
                 Avg Added,  11.1875 ,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  3 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.006836488842964172 ,
                 Avg Expanded,  6.625 ,
                 Avg Added,  21.4375 ,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  4 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.00990893923003098 ,
                 Avg Expanded,  17.448275862068964 ,
                 Avg Added,  56.58620689655172 ,
                 Avg Depth,  0.0 ,
                 Runs,  29 ,
        Depth,  5 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.01331270592553275 ,
                 Avg Expanded,  24.5 ,
                 Avg Added,  77.78571428571429 ,
                 Avg Depth,  0.0 ,
                 Runs,  28 ,
        Depth,  6 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.025581502914428712 ,
                 Avg Expanded,  59.25 ,
                 Avg Added,  185.65 ,
                 Avg Depth,  0.0 ,
                 Runs,  20 ,
        Depth,  7 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.03440854284498426 ,
                 Avg Expanded,  122.83333333333333 ,
                 Avg Added,  379.94444444444446 ,
                 Avg Depth,  0.0 ,
                 Runs,  18 ,
        Depth,  8 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.05904550552368164 ,
                 Avg Expanded,  184.2 ,
                 Avg Added,  571.32 ,
                 Avg Depth,  0.0 ,
                 Runs,  25 ,
        Depth,  9 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.11856982111930847 ,
                 Avg Expanded,  410.875 ,
                 Avg Added,  1269.0416666666667 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
        Depth,  10 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.19602890809377035 ,
                 Avg Expanded,  692.625 ,
                 Avg Added,  2147.0416666666665 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
        Depth,  11 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.4080485701560974 ,
                 Avg Expanded,  1412.5 ,
                 Avg Added,  4377.5 ,
                 Avg Depth,  0.0 ,
                 Runs,  20 ,
        Depth,  12 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.7735876083374024 ,
                 Avg Expanded,  3469.7 ,
                 Avg Added,  10734.9 ,
                 Avg Depth,  0.0 ,
                 Runs,  10 ,
        Depth,  13 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  1.4406000546046667 ,
                 Avg Expanded,  4389.857142857143 ,
                 Avg Added,  13583.285714285714 ,
                 Avg Depth,  0.0 ,
                 Runs,  7 ,
        Depth,  14 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  2.973361333211263 ,
                 Avg Expanded,  7570.666666666667 ,
                 Avg Added,  23458.666666666668 ,
                 Avg Depth,  0.0 ,
                 Runs,  3 ,
        Depth,  15 ,
        Depth,  16 ,
        Depth,  17 ,
A*,
        Depth,  1 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.0016588846842447917 ,
                 Avg Expanded,  1.0 ,
                 Avg Added,  4.0 ,
                 Avg Depth,  0.0 ,
                 Runs,  15 ,
        Depth,  2 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.0025806427001953125 ,
                 Avg Expanded,  2.4375 ,
                 Avg Added,  8.625 ,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  3 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.003227636218070984 ,
                 Avg Expanded,  4.5 ,
                 Avg Added,  14.0625 ,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  4 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.004092084950414197 ,
                 Avg Expanded,  8.206896551724139 ,
                 Avg Added,  26.862068965517242 ,
                 Avg Depth,  0.0 ,
                 Runs,  29 ,
        Depth,  5 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.005131431988307408 ,
                 Avg Expanded,  13.928571428571429 ,
                 Avg Added,  44.142857142857146 ,
                 Avg Depth,  0.0 ,
                 Runs,  28 ,
        Depth,  6 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.00675274133682251 ,
                 Avg Expanded,  26.7 ,
                 Avg Added,  83.15 ,
                 Avg Depth,  0.0 ,
                 Runs,  20 ,
        Depth,  7 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.009903430938720703 ,
                 Avg Expanded,  51.111111111111114 ,
                 Avg Added,  158.0 ,
                 Avg Depth,  0.0 ,
                 Runs,  18 ,
        Depth,  8 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.014593477249145509 ,
                 Avg Expanded,  92.0 ,
                 Avg Added,  280.68 ,
                 Avg Depth,  0.0 ,
                 Runs,  25 ,
        Depth,  9 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.022828876972198486 ,
                 Avg Expanded,  160.75 ,
                 Avg Added,  489.5833333333333 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
        Depth,  10 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.029193301995595295 ,
                 Avg Expanded,  208.83333333333334 ,
                 Avg Added,  633.0 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
